frame,found,candidate_id,class,x1,y1,x2,y2,center_x,center_y
1,1,28,pedestrian,124,594,212,743,168,668
2,1,28,pedestrian,131,592,221,744,176,668
3,1,28,pedestrian,137,589,230,747,183,668
4,1,28,pedestrian,146,588,238,743,192,665
5,1,28,pedestrian,154,589,246,744,200,666
6,1,28,pedestrian,155,595,241,741,198,668
7,1,28,pedestrian,140,605,223,745,181,675
8,1,28,pedestrian,143,600,229,746,186,673
9,1,28,pedestrian,150,600,236,746,193,673
10,1,28,pedestrian,156,597,244,746,200,671
11,1,28,pedestrian,161,597,249,746,205,671
12,1,28,pedestrian,167,595,257,747,212,671
13,1,28,pedestrian,174,594,267,752,220,673
14,1,28,pedestrian,183,597,275,752,229,674
15,1,28,pedestrian,193,599,283,751,238,675
16,1,28,pedestrian,200,598,292,753,246,675
17,1,28,pedestrian,208,597,300,752,254,674
18,1,28,pedestrian,216,594,309,752,262,673
19,1,28,pedestrian,226,596,318,751,272,673
20,1,28,pedestrian,234,596,326,751,280,673
21,1,28,pedestrian,242,599,334,754,288,676
22,1,28,pedestrian,251,601,339,750,295,675
23,1,28,pedestrian,257,602,345,751,301,676
24,1,28,pedestrian,265,604,351,750,308,677
25,1,28,pedestrian,270,602,360,754,315,678
26,1,28,pedestrian,276,603,368,758,322,680
27,1,28,pedestrian,284,604,377,762,330,683
28,1,28,pedestrian,290,609,383,767,336,688
29,1,28,pedestrian,300,610,393,768,346,689
30,1,28,pedestrian,310,611,403,769,356,690
31,1,28,pedestrian,320,613,412,768,366,690
32,1,28,pedestrian,329,614,422,772,375,693
33,1,28,pedestrian,338,617,431,775,384,696
34,1,28,pedestrian,347,623,440,781,393,702
35,1,28,pedestrian,359,628,449,780,404,704
36,1,28,pedestrian,370,632,458,781,414,706
37,1,28,pedestrian,379,631,467,780,423,705
38,1,28,pedestrian,391,631,479,780,435,705
39,1,28,pedestrian,403,630,491,779,447,704
40,1,28,pedestrian,412,627,502,779,457,703
41,1,28,pedestrian,421,626,511,778,466,702
42,1,28,pedestrian,432,624,522,776,477,700
43,1,28,pedestrian,450,617,540,769,495,693
44,1,28,pedestrian,467,609,557,761,512,685
45,1,28,pedestrian,481,603,569,752,525,677
46,1,28,pedestrian,495,596,583,745,539,670
47,1,28,pedestrian,504,590,592,739,548,664
48,1,28,pedestrian,516,585,602,731,559,658
49,1,28,pedestrian,528,578,614,724,571,651
50,1,28,pedestrian,546,571,631,714,588,642
51,1,28,pedestrian,560,563,645,706,602,634
52,1,28,pedestrian,573,556,658,699,615,627
53,1,28,pedestrian,587,551,670,691,628,621
54,1,28,pedestrian,596,543,681,686,638,614
55,1,28,pedestrian,607,534,693,680,650,607
56,1,28,pedestrian,622,530,707,673,664,601
57,1,28,pedestrian,633,523,718,666,675,594
58,1,28,pedestrian,644,516,729,659,686,587
59,1,28,pedestrian,656,510,741,653,698,581
60,1,28,pedestrian,667,508,748,646,707,577
61,1,28,pedestrian,675,505,756,643,715,574
62,1,28,pedestrian,684,503,767,643,725,573
63,1,28,pedestrian,697,502,778,640,737,571
64,1,28,pedestrian,707,503,787,638,747,570
65,1,28,pedestrian,717,502,797,637,757,569
66,1,28,pedestrian,726,500,806,635,766,567
67,1,28,pedestrian,735,499,813,631,774,565
68,1,28,pedestrian,744,499,821,629,782,564
69,1,28,pedestrian,753,497,830,627,791,562
70,1,28,pedestrian,765,495,842,625,803,560
71,1,28,pedestrian,774,491,851,621,812,556
72,1,28,pedestrian,783,489,860,619,821,554
73,1,28,pedestrian,792,486,869,616,830,551
74,1,28,pedestrian,799,485,874,612,836,548
75,1,28,pedestrian,809,483,883,608,846,545
76,1,28,pedestrian,819,480,893,605,856,542
77,1,28,pedestrian,829,475,903,600,866,537
78,1,28,pedestrian,837,471,911,596,874,533
79,1,28,pedestrian,846,468,920,593,883,530
80,1,28,pedestrian,853,464,928,591,890,527
81,1,28,pedestrian,860,462,935,589,897,525
82,1,28,pedestrian,868,457,943,584,905,520
83,1,28,pedestrian,876,453,951,580,913,516
84,1,28,pedestrian,886,448,960,573,923,510
85,1,28,pedestrian,895,445,969,570,932,507
86,1,28,pedestrian,903,442,977,567,940,504
87,1,28,pedestrian,910,438,985,565,947,501
88,1,28,pedestrian,917,435,992,562,954,498
89,1,28,pedestrian,925,434,1000,561,962,497
90,1,28,pedestrian,932,433,1009,563,970,498
91,1,28,pedestrian,941,432,1018,562,979,497
92,1,28,pedestrian,949,431,1026,561,987,496
93,1,28,pedestrian,957,432,1032,559,994,495
94,1,28,pedestrian,963,433,1037,558,1000,495
95,1,28,pedestrian,970,434,1044,559,1007,496
96,1,28,pedestrian,979,433,1053,558,1016,495
97,1,28,pedestrian,988,432,1062,557,1025,494
98,1,28,pedestrian,997,431,1069,553,1033,492
99,1,28,pedestrian,1005,432,1076,552,1040,492
100,1,28,pedestrian,1012,433,1081,550,1046,491
101,1,28,pedestrian,1020,431,1091,551,1055,491
102,1,28,pedestrian,1038,430,1109,550,1073,490
103,1,28,pedestrian,1069,430,1140,550,1104,490
104,1,28,pedestrian,1112,430,1183,550,1147,490
105,1,28,pedestrian,1163,430,1234,550,1198,490
106,1,28,pedestrian,1216,433,1288,555,1252,494
107,1,28,pedestrian,1274,437,1348,562,1311,499
108,1,28,pedestrian,1328,442,1403,569,1365,505
109,1,28,pedestrian,1360,440,1437,570,1398,505
110,1,28,pedestrian,1370,438,1448,570,1409,504
111,1,28,pedestrian,1380,437,1458,569,1419,503
112,1,28,pedestrian,1387,436,1465,568,1426,502
113,1,28,pedestrian,1395,437,1473,569,1434,503
114,1,28,pedestrian,1402,437,1482,572,1442,504
115,1,28,pedestrian,1413,436,1493,571,1453,503
116,1,28,pedestrian,1430,437,1511,575,1470,506
117,1,28,pedestrian,1452,437,1535,577,1493,507
118,1,28,pedestrian,1461,437,1544,577,1502,507
119,1,28,pedestrian,1467,437,1552,580,1509,508
120,1,28,pedestrian,1474,438,1557,578,1515,508
121,1,28,pedestrian,1482,439,1565,579,1523,509
122,1,28,pedestrian,1491,438,1574,578,1532,508
123,1,28,pedestrian,1490,436,1575,579,1532,507
124,1,28,pedestrian,1469,430,1554,573,1511,501
125,1,28,pedestrian,1405,421,1491,567,1448,494
126,1,28,pedestrian,1381,396,1467,542,1424,469
127,1,28,pedestrian,1393,429,1481,578,1437,503
128,1,28,pedestrian,1312,405,1400,554,1356,479
129,1,28,pedestrian,1230,397,1318,546,1274,471
130,1,28,pedestrian,1156,383,1244,532,1200,457
131,1,28,pedestrian,1080,379,1168,528,1124,453
132,1,28,pedestrian,1069,377,1155,523,1112,450
133,1,28,pedestrian,1077,380,1163,526,1120,453
134,1,28,pedestrian,1079,384,1165,530,1122,457
135,1,28,pedestrian,1085,380,1173,529,1129,454
136,1,28,pedestrian,1089,385,1175,531,1132,458
137,1,28,pedestrian,1099,380,1185,526,1142,453
138,1,28,pedestrian,1107,380,1195,529,1151,454
139,1,28,pedestrian,1134,381,1224,533,1179,457
140,1,28,pedestrian,1145,384,1235,536,1190,460
141,1,28,pedestrian,1156,377,1244,526,1200,451
142,1,28,pedestrian,1158,379,1248,531,1203,455
143,1,28,pedestrian,1164,377,1254,529,1209,453
144,1,28,pedestrian,1167,385,1257,537,1212,461
145,1,28,pedestrian,1173,381,1263,533,1218,457
146,1,28,pedestrian,1181,382,1271,534,1226,458
